Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
Gibraltar,6530.68,3434.66,1741.47,26.46,438.01,16.96,57.49
Greece,183613.13,108208.65,279725.78,6202.27,162327.84,2406.02,64925.62
Greenland,12.64,2.14,3.74,0.00,228.57,0.00,53.63
Grenada,2780.63,287.05,20758.41,155.25,3615.57,37.45,419.21
Guadeloupe,16168.42,1821.66,34195.19,480.49,8029.86,155.24,1147.52
Guam,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,161820.28,99650.28,1946272.43,118068.75,375706.15,32761.05,161342.04
Guinea,42892.67,14544.24,1044575.71,22691.02,249590.96,12158.69,88438.61
Guinea-Bissau,7607.94,1464.53,227543.52,4492.24,50489.78,1655.13,18533.85
Guyana,20674.71,2273.71,49793.07,3064.98,16529.98,733.81,10611.11
Haiti,60924.81,12737.38,1535254.90,31844.51,393922.36,9428.02,82340.95
Honduras,175855.50,67122.55,1386203.80,37229.54,257005.02,11085.21,64760.01
Hong Kong,149130.99,108725.41,127621.36,2260.17,84453.20,4786.41,2241.21
Hungary,100456.29,20800.80,392591.89,30487.14,135327.06,5204.99,91463.65
Iceland,16630.55,16371.65,112004.39,133.38,5158.61,226.22,4515.06
India,9476939.53,9672037.31,53392563.74,2597599.93,11053657.74,885926.98,10247139.62
Indonesia,5038852.43,2595484.38,23309812.17,755683.79,7602169.19,269256.86,2003211.60
Iran,2274539.75,2117704.82,9951627.68,35781.01,3265403.39,90456.97,572447.05
Iraq,879896.11,1055941.47,2360797.74,15279.15,1205423.75,29730.41,130809.82
Ireland,78292.43,9410.89,67425.94,2447.41,108188.14,1446.59,157580.41
Israel,406061.89,206961.70,140738.29,3679.53,130180.23,10116.11,28477.75
Italy,587047.62,109312.83,2112627.82,52187.67,868127.10,14465.13,431807.01
Jamaica,64355.75,65971.61,699457.14,2729.27,137863.12,1270.10,16679.32
Japan,1674207.29,634185.78,3535352.70,62105.01,1024589.89,43737.06,433530.22
Jordan,109779.81,77317.25,87157.71,3524.78,87726.66,6380.67,16972.26
Kazakhstan,878094.38,1347124.60,3228318.45,21712.48,497832.23,20439.51,46294.94
Kenya,202805.30,44853.21,4912740.90,106329.58,1397673.11,41360.12,420981.18
Kiribati,546.01,482.84,967.08,133.68,675.21,43.58,520.09
Kuwait,196627.54,423480.28,139993.59,2869.89,487692.00,8102.39,20442.50
Kyrgyzstan,78132.18,81837.16,498842.16,21377.96,118364.56,3989.23,17460.59
Laos,117982.19,260222.12,369860.49,8391.88,92763.38,2351.70,100755.25
